COM,IRIS,LIBIRIS,LIBCOM,LIB_EPCI_SUB,P18_POP,P18_POP0002,P18_POP0305,P18_POP0610,P18_POP1117,P18_POP1824,P18_POP2539,P18_POP4054,P18_POP5564,P18_POP6579,P18_POP80P
93073,930730304,Vert Galant 4,Tremblay-en-France,Paris Terres d'Envol,2449.73305613157,60.2690846614016,77.0061290609003,174.538634129207,239.443005415106,210.667569045174,390.735126956099,547.651906562306,371.674067799457,287.732068969297,90.0154635326201
93073,930730401,Centre Ville 1,Tremblay-en-France,Paris Terres d'Envol,3805.85791003645,164.929708440078,209.252415573409,346.065593430138,444.538212533327,333.470268555288,730.060560774959,776.458412695929,465.997637231288,269.905883711383,65.1792170906533
93073,930730402,Centre Ville 2,Tremblay-en-France,Paris Terres d'Envol,3526.57353518829,247.939632667605,244.708855819388,372.114996342223,323.123336780079,320.650902051098,836.018949141846,608.358436844072,344.672148608671,180.770232872245,48.2160440610674
93073,930730403,Centre Ville 3,Tremblay-en-France,Paris Terres d'Envol,2326.87635273404,127.627203179965,156.540184116649,173.62247857056,161.191631640432,149.331739473965,535.200800805733,403.348828251679,215.130065841587,262.836524424751,142.04689642872
93073,930730404,Centre Ville 4,Tremblay-en-France,Paris Terres d'Envol,1374.27091406061,69.283304970307,64.9898263267479,108.74217623565,158.733431332719,194.795093210683,245.089197189778,236.634910453222,142.994070588296,122.520533554062,30.4883701991468
93073,930730501,Bois Saint-Denis 1,Tremblay-en-France,Paris Terres d'Envol,2848.49975401935,116.551101063716,97.3935436491392,236.155947426855,289.920000208931,225.695429566068,496.916186163689,563.778177452751,410.896002961266,281.947385395841,129.245980131098
93073,930730502,Bois Saint-Denis 2,Tremblay-en-France,Paris Terres d'Envol,3905.57603404152,210.028649532952,168.77492511832,309.204185758014,404.368938116551,347.034516384931,796.232593004179,795.633424139387,449.442000577306,357.543086605519,67.3137148043627
93074,930740101,Vert Galant Grand Cerf,Vaujours,Grand Paris Grand Est,4939.65609179459,303.291109083762,247.566650381921,322.510928494521,411.40873448044,444.470583588598,1210.78303940632,887.467499452089,507.967627345758,381.381707654714,222.808211906471
93074,930740102,Vieux Pays Carriäres,Vaujours,Grand Paris Grand Est,2063.3439082054,80.8424471586989,87.8724098876174,131.832797837337,219.75644627786,196.497466753229,360.632941092505,434.353103417996,293.360926675702,187.710598566217,70.4847705382412
93077,930770101,AllÇe de la Tour,Villemomble,Grand Paris Grand Est,1977.88291203152,92.502025371277,85.8384669647791,136.9527178759,134.1957728471,122.277249165128,436.238903568981,390.947586145129,237.654323143881,217.48658244515,123.789284504193
93077,930770102,Coquetiers Gallieni,Villemomble,Grand Paris Grand Est,2403.19316180357,124.60063502584,111.310903413305,146.362402562241,158.252508213597,180.79493745316,598.189039046785,481.147138860063,277.314663524819,203.792063300341,121.428870403423
93077,930770103,Marnaudes,Villemomble,Grand Paris Grand Est,3094.23744195397,116.024167399217,158.330959135268,274.11506257759,408.234568814406,311.696381334104,591.316219519339,577.84515214901,362.223282938398,255.14906110967,39.3025869769725
93077,930770104,Foch-Francois CoppÇe,Villemomble,Grand Paris Grand Est,1903.17351597854,41.1920230401137,56.7913913086767,115.917147183551,201.485813605801,198.929342222118,230.99072911527,490.561345976773,249.336022848335,221.623567048137,96.3461336297664
93077,930770105,Bondy,Villemomble,Grand Paris Grand Est,2923.86902557048,119.43743555284,155.086632706429,223.438537234091,248.568203154663,147.179708862503,666.277019902436,531.844175911947,343.406264063647,351.682129307051,136.948918874873
93077,930770106,Centre Ville,Villemomble,Grand Paris Grand Est,3020.66153186161,154.288666956734,125.23400279559,156.389304933335,256.128692528192,231.37963688001,784.114848205855,563.223485191112,276.860098927312,287.731177189885,185.311618253588
93077,930770107,Carette-êglise,Villemomble,Grand Paris Grand Est,2293.36769499844,69.4348781436318,66.1191350354682,131.063180070897,192.677361064425,145.090104084809,481.419335171296,476.583335106773,247.070882216988,306.859541246921,177.049942857232
93077,930770108,Trois Fräres,Villemomble,Grand Paris Grand Est,1758.76591874584,57.7198913276602,65.9395037609614,131.681321754194,215.683601614892,162.501344592504,283.110178532074,336.887986423496,202.908409221728,215.778694913498,86.5549866048358
93077,930770109,Mermoz,Villemomble,Grand Paris Grand Est,2897.07200303589,109.567076091837,113.870426825912,230.916571276645,277.136610728794,227.448207309014,557.667216605262,611.206059322119,334.078673198794,325.142068674497,110.039093003011
93077,930770110,Neuilly êpoque,Villemomble,Grand Paris Grand Est,2551.81060718233,88.0915372896942,107.145465937844,153.983939378422,259.024414650544,175.006325938742,503.38679727901,520.502175224866,342.738049429787,285.260902469487,116.670999583932
93077,930770111,BÇnoni Eustache,Villemomble,Grand Paris Grand Est,1955.83977328793,107.762172027114,138.081002421151,174.158444226342,201.259676599758,143.420409573354,522.901652385196,339.241524952149,171.895691906095,112.19476370363,44.9244354931393
93077,930770112,Plateau d'Avron,Villemomble,Grand Paris Grand Est,3225.12641354988,131.825858085633,130.718832789219,213.512141106758,253.866735490413,242.786960224112,735.82850525532,678.11753263661,453.34627419999,288.854385672036,96.269188089785
93078,930780101,Nord Expo,Villepinte,Paris Terres d'Envol,74.6716542428382,0,0,3.19778062032747,0,0,17.3411016935742,3.47389054699138,30.8862803418613,19.7726010400839,0
93078,930780102,Nord Haie,Villepinte,Paris Terres d'Envol,2042.7780968182,86.0947142746441,120.464200753365,178.955925731015,170.007921550082,177.844629146765,367.808062106289,405.643389913569,263.614664460532,223.739501408705,48.6050874732328
93078,930780103,Nord Mairie,Villepinte,Paris Terres d'Envol,1917.62187367962,81.0360230163566,83.2633899464098,140.32218797659,208.412180000765,160.904379646873,378.675077656062,370.423431568928,185.649422686499,174.176421566551,134.759359614583
93078,930780104,Nord-Est Mousseaux,Villepinte,Paris Terres d'Envol,6529.25571642474,252.909430633832,267.163752789676,481.042125321323,646.592457078955,929.204511543923,1645.43206075275,1196.64657183806,721.898051997092,331.418621410882,56.9481330582466
93078,930780105,Nord-Est Parc,Villepinte,Paris Terres d'Envol,2932.17665403338,197.840070189455,218.503149209128,351.23655758061,323.889403573013,230.629250332439,651.128924905705,481.620202431883,252.758010813131,191.972377475307,32.5987075227051
