CODE_IRIS,INSEE_COM,NOM_COM,IRIS,NOM_IRIS,TYP_IRIS,LIB_EPCI,A203,B101,B102,B201,B202,B203,C101,C102,C103,C104,C105,C201,C301,C302,C303,C304,C305,C701,C702,D101,D102,D103,D201,D401,D402,D403,F101,F102,F103,F104,F107,F109,F111,F112,F114,F117,F120,F121,F203,F303,F305,F307,F312,G102,G104
751041301,75104,Paris 4e Arrondissement,1301,Saint-Merri 1,H,Paris,2,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,3
751041302,75104,Paris 4e Arrondissement,1302,Saint-Merri 2,H,Paris,0,0,3,0,1,7,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,4,3
751041303,75104,Paris 4e Arrondissement,1303,Saint-Merri 3,H,Paris,0,0,1,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,5
751041304,75104,Paris 4e Arrondissement,1304,Saint-Merri 4,A,Paris,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
751041305,75104,Paris 4e Arrondissement,1305,Saint-Merri 5,A,Paris,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
751041399,75104,Paris 4e Arrondissement,1399,Seine et Berges 1,D,Paris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
751041401,75104,Paris 4e Arrondissement,1401,Saint-Gervais 1,H,Paris,3,0,0,2,3,7,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,3,3,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,1,1
751041402,75104,Paris 4e Arrondissement,1402,Saint-Gervais 2,H,Paris,2,0,1,2,2,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,7,0
751041403,75104,Paris 4e Arrondissement,1403,Saint-Gervais 3,H,Paris,1,0,1,2,4,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8
751041404,75104,Paris 4e Arrondissement,1404,Saint-Gervais 4,H,Paris,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,2
