IRIS,COM,LIBIRIS,LIBCOM,LIB_EPCI_SUB,C18_POP15P_CS1,C18_POP15P_CS2,C18_POP15P_CS3,C18_POP15P_CS4,C18_POP15P_CS5,C18_POP15P_CS6,C18_POP15P_CS7,C18_POP15P_CS8,P18_POP1564,P18_POP1524,P18_POP2554,P18_POP5564,P18_ACT1564,P18_ACT1524,P18_ACT2554,P18_ACT5564,P18_CHOM1564,P18_CHOM1524,P18_CHOM2554,P18_CHOM5564,P18_ETUD1564,P18_RETR1564,P18_SAL15P,P18_SAL15P_CDD,P18_SAL15P_INTERIM,P18_SAL15P_EMPAID,P18_SAL15P_APPR,P18_NSAL15P_INDEP,P18_NSAL15P_EMPLOY,DEC_TP6019,DEC_Q119,DEC_MED19,DEC_Q319
940330105,94033,Jean Zay,Fontenay-sous-Bois,Paris Est Marne et Bois,0,51.4659123857053,134.796349755495,379.913933531072,522.329696646062,281.600103064965,425.749361627277,445.984345900865,1867.90205875653,434.970496290772,1091.73868524594,341.192877219822,1388.58813253658,164.705629417459,998.800889726891,225.081613392229,229.008005515509,54.5442663289957,149.437643298061,25.0260958884516,253.705533741077,69.3631526485073,1102.54686383018,119.935568789527,19.0889399383672,8.31255385581314,17.0959988259583,41.0821545746787,15.9065977672025,36.6,9650,16650,23470
940330106,94033,Les Larris 1,Fontenay-sous-Bois,Paris Est Marne et Bois,0,40.4186969304837,139.518811330012,383.379966877214,616.454272353639,271.763491517164,514.21667748382,501.385644810157,1965.61912758812,457.648473372452,1148.69461001865,359.276044197012,1458.05781770431,237.629138987235,1007.14733869065,213.281340026419,320.187252872288,90.5356254505774,185.233476262566,44.4181511591446,212.845355470484,83.5865153228573,1096.8253232828,133.468664127914,35.1331896758056,0,24.9679813015163,58.6635365300291,21.1535464884851,34.3,10570,17450,25780
940330107,94033,Les Larris 2,Fontenay-sous-Bois,Paris Est Marne et Bois,0,49.805092963239,196.823575772619,275.462339251112,477.823164747139,202.363243512539,346.26128576737,430.064814417982,1632.96052209762,324.134865073404,975.930418161934,332.895238862286,1213.10584205964,109.975887722911,855.750175128225,247.379779208503,202.138269796036,39.3212664849773,125.235797157206,37.5812061538529,206.551663574262,45.0227904419446,951.135046097391,95.6381116827508,18.8824571545325,7.3453349141149,11.3971314641094,44.9989433719027,29.7138291807214,36.6,10110,16880,24850
940330108,94033,Les Larris 3,Fontenay-sous-Bois,Paris Est Marne et Bois,0,56.8684022881955,140.644702099711,226.398283561188,408.540409159648,174.293194126708,424.641072757934,456.73235211148,1469.81696744686,379.572268367336,857.591683779409,232.653015300117,1027.53562803904,124.518171040277,747.518906354927,155.498550643834,231.599044509267,48.9663566395891,153.965811747487,28.6668761221908,242.596821511691,53.1948374029919,734.219995039343,93.8591398947281,8.68819216649128,0,16.2157943971682,39.7395554210243,37.2422740658574,39.1,9280,15770,23640
940330109,94033,Les Alouettes,Fontenay-sous-Bois,Paris Est Marne et Bois,0,24.0365331304618,140.205967710438,246.691509366966,275.82206125856,137.880231042148,186.097611160196,179.156437583354,1024.31725565321,175.490012839561,688.153423124553,160.673819689096,830.568792434883,58.7261450233238,652.558420023897,119.284227387662,99.2108717073019,11.624077467877,76.0554992071058,11.5312950323192,119.848892539221,32.6304613414434,675.352008670844,71.9220943087634,5.86353956354342,2.79940255300501,9.01751464929293,44.3609468764143,20.7829627933865,,12410,21580,31270
940330110,94033,Bois Cadet 1,Fontenay-sous-Bois,Paris Est Marne et Bois,0,28.8860160820585,71.9862852127751,207.848734000979,401.41392082714,161.863715956171,265.157282788878,319.046359402785,1251.28048753906,311.850850254863,646.897534672061,292.53210261214,904.027303541289,131.079078306824,598.869592160298,174.078633074167,182.822523387822,54.5695889204355,112.250040207373,16.0028942600141,152.610349527379,86.2584827840944,679.881116725919,73.654043009624,6.45488555239909,9.68390837595771,9.57839462810868,22.5632935602623,22.144468366461,30.7,11420,18930,27790
940330111,94033,Bois Cadet 2,Fontenay-sous-Bois,Paris Est Marne et Bois,0,38.0023382332557,185.405376964769,350.414070252351,565.722053844733,148.123345861612,341.11888015264,326.453899564953,1642.34922723168,253.702817877653,1168.75029885713,219.896110496899,1326.59206619795,85.1760621858392,1084.80058725494,156.615416757167,172.73067267595,41.6562946376518,117.076115494101,13.9982625441971,154.609720195883,44.4339071005014,1092.61784933319,191.239345386215,9.0713796874451,1.97349913559493,28.0082019607141,58.1208374435317,13.6988469971851,30.5,11370,17980,27340
940330112,94033,Bois Cadet 3,Fontenay-sous-Bois,Paris Est Marne et Bois,0,11.5235212737642,323.018769354861,255.750862435711,241.526772099025,91.7767482738534,352.513278756719,196.014532032106,1146.9403029902,194.290688216816,716.459586735546,236.190028037836,931.687289681414,64.7136706684074,677.608920837595,189.364698175411,103.100579226971,13.2325036093301,78.2018672991726,11.6662083184679,132.601077790765,37.9166071082203,790.576901159386,54.2381568090423,8.04304573252166,0.936011686421096,22.8611725386553,29.1486325622005,13.6869256833175,15.8,17530,27520,38860
940330113,94033,Michelet,Fontenay-sous-Bois,Paris Est Marne et Bois,0,93.2523059416537,237.645933429569,355.243549628196,574.401167245178,221.579073197503,430.898574814178,518.471729632787,2008.9753336988,494.78623389785,1105.45724088361,408.731858917337,1493.85206809749,169.026297662643,1017.73405428808,307.091716146762,226.210806929949,46.6760248565389,155.144055416945,24.3907266564654,303.370009855114,58.6314078962526,1144.61944351365,154.548968940187,12.7154396095242,13.4920510274954,34.013714967077,66.6894999177899,67.3625337045151,35.2,10440,18170,28490
940330114,94033,Le Village 1,Fontenay-sous-Bois,Paris Est Marne et Bois,0,83.3675204438988,479.633076685743,291.244948617426,238.82342390234,62.8441721415078,380.262246535474,319.869531779062,1548.47782427546,303.282242812482,939.291467838537,305.904113624441,1152.14934114785,80.020530078268,870.711425759249,201.417385310328,125.570051750699,21.8141169257937,88.3919014300122,15.3640333948935,226.134321670022,88.9132372434545,893.831732733199,62.1655539149324,5.97658263729086,3.2375636144043,21.2411701682497,105.207099276384,49.4086215060238,9.5,23280,35730,53300
