INSEE_COM,NOM_COM,LIB_EPCI_SUB,C18_POP15P_CS1,C18_POP15P_CS2,C18_POP15P_CS3,C18_POP15P_CS4,C18_POP15P_CS5,C18_POP15P_CS6,C18_POP15P_CS7,C18_POP15P_CS8,P18_POP1564,P18_POP1524,P18_POP2554,P18_POP5564,P18_ACT1564,P18_ACT1524,P18_ACT2554,P18_ACT5564,P18_CHOM1564,P18_CHOM1524,P18_CHOM2554,P18_CHOM5564,P18_ETUD1564,P18_RETR1564,P18_SAL15P,P18_SAL15P_CDD,P18_SAL15P_INTERIM,P18_SAL15P_EMPAID,P18_SAL15P_APPR,P18_NSAL15P_INDEP,P18_NSAL15P_EMPLOY,DEC_Q119,DEC_MED19,DEC_Q319,DEC_TP6019
91027,Athis-Mons,Grand-Orly Seine Biävre,13.6141534696097,795.250155670444,2486.69323399135,4274.09222816979,5790.33733123309,3599.39809392461,4979.71344716676,5173.31015858632,22407.3908998856,4255.65333038867,14708.9587446747,3442.77882482227,16960.6156605866,1626.28118659996,13095.1952088694,2239.13926511721,1521.74362634831,316.413852705544,1070.85040007244,134.479373570322,2472.87459468718,862.567787191018,14502.9452073965,1155.40539105878,331.37764459066,32.0748902363621,315.703627258671,767.046945610084,330.111932657864,12830,21180,30370,25
91326,Juvisy-sur-Orge,Grand-Orly Seine Biävre,0,320.094382166977,2412.94258307496,2364.96181848617,2538.94836807791,1349.50439599559,2726.45702081088,2041.52911332947,11199.5948671417,1863.01248645217,7710.65783133917,1625.92454935039,9009.91923713038,942.801222357616,7005.27755282757,1061.84046194521,1017.02619406183,188.721754865267,717.724441326888,110.579997869676,909.564892663565,430.662394202072,7484.00999152789,635.88046454987,125.538552019824,36.0588937078262,238.034623388484,376.976758653119,240.231522165437,13510,23160,33910,24
91432,Morangis,Grand-Orly Seine Biävre,1.00717574128541,426.438366044312,1314.82498591607,1920.06916058866,1862.9720355365,1275.05581262843,2475.29963829808,1469.60607802854,8647.59211101691,1567.55276710651,5487.32578522048,1592.71355868992,6797.61268968649,678.648779179005,5175.05633537553,943.907575131958,681.769486042472,117.728434179855,461.78666179164,102.254390070977,854.142947313212,534.302173802447,5586.4618067249,366.193361234575,130.286968240984,24.3461492705364,175.833928317539,319.773378542529,279.203973071098,17370,25720,35680,15
91479,Paray-Vieille-Poste,Grand-Orly Seine Biävre,0,305,540,1100,1060,560,1605,950,4689,880,2854,955,3620,368,2662,590,376,92,230,54,474,275,2904,198,49,6,63,216,164,17060,25040,33720,15
91589,Savigny-sur-Orge,Grand-Orly Seine Biävre,0,856.676624147533,4292.60554434423,5362.60167338297,5072.55212320424,2843.0412362239,6498.30033177303,4843.90341552548,23930.3202430855,4379.64806883482,14796.7554419168,4753.91673233384,18558.1430705827,1848.64526381726,13580.8057447251,3128.69206204036,2116.93382461527,404.488034150656,1461.97307136605,250.472719098557,2451.38027725128,1275.00780584452,15116.930457858,1232.95214137787,258.048987311521,46.3783451313441,456.539693539616,898.271039440222,571.614021888875,15940,25420,35870,19
91687,Viry-ChÉtillon,Grand-Orly Seine Biävre,0,557.56093588666,2260.89889853804,4058.68370494753,4867.91547573959,2924.18798826207,5018.87927439082,4144.52978105889,19209.5963724634,3543.26278153151,12204.0183401149,3462.31525081703,14861.4590958664,1453.26409418115,11141.3448809645,2266.85012072069,2174.89908004078,426.384299793379,1462.9927066798,285.522073567599,1970.09170363626,832.924601315219,11913.4381269373,1043.12934359447,286.298736759311,65.3630753094606,285.95710479549,577.671465029008,334.013600184077,12310,20680,30100,27
92002,Antony,VallÇe Sud Grand Paris,10.3369361947995,1236.98654249854,14658.1514947869,7616.22398121742,5744.41175297469,2261.18345158243,11667.9799477983,7943.33197430124,40042.3174454228,7534.07837067546,24952.0292978852,7556.20977686209,31308.3592946523,2410.94373229569,23486.7352108339,5410.68035152273,2749.66073132726,497.55058259494,1802.31164334695,449.798505385377,5205.72634227296,1601.95642157024,26166.0741694612,2103.67044427032,233.111623729436,78.8409410352051,575.26231348013,1704.99958599498,1188.86159170526,20840,32920,47450,12
92004,Asniäres-sur-Seine,Boucle Nord de Seine,14.8200620922843,2343.4960808277,17766.9212750355,11161.8569740852,10537.117884497,4406.47949113365,11206.1523973327,11399.6088905925,57737.0751436697,9995.15470744074,39568.9876478658,8172.93278836318,46048.5259254464,3781.18898958664,36551.2547083075,5716.0822275523,5065.86106696116,829.246067323613,3582.26981223747,654.345187400083,6027.97676497964,1690.39904529597,37136.7998266842,2886.36852825069,390.247618567039,159.697105319006,1133.90070716376,2805.2398386809,1749.52005393356,15030,27770,44720,21
92007,Bagneux,VallÇe Sud Grand Paris,0,744.977805847511,4213.69648619054,5191.78482400535,7147.21502166941,3107.00931687818,5591.3493469832,6224.09663289433,26985.3044946279,5128.80104709547,17302.2604156839,4554.24303184854,20771.0639757181,2095.88138480824,15561.0181067163,3114.16448419353,3233.44077476384,654.516040819056,2192.14015064224,386.784583302539,2977.43391895532,893.481211985123,16406.7985301881,1701.69453727075,294.051114433842,130.474245657722,503.43959802239,900.857743794743,427.157892807873,11330,19150,29400,30
92009,Bois-Colombes,Boucle Nord de Seine,7.3844699177771,750.818171754583,6247.13911763553,3896.3242175012,2903.10821506866,1230.91461025568,4181.51067939861,3728.04303327188,18929.2502543214,3402.69136126207,12435.819430861,3090.73946219837,14945.9853889727,1039.49110879135,11687.2914344536,2219.20284572779,1415.57883544578,197.434460221746,1000.78631508504,217.358060138997,2344.69754782121,618.674696966114,12232.0908147422,875.845160570142,93.7714882421565,30.9551517147957,283.808248897235,942.089639665866,546.745384812838,20570,33800,50520,13
92012,Boulogne-Billancourt,Grand Paris Seine Ouest,12.5864122986558,4281.81786884502,33151.1869565323,15060.9656660244,11097.4238982076,3133.03382205593,19287.2272759524,15006.6689176093,80669.232059052,13544.9011890034,54824.7839086959,12299.5469613527,65707.6041212073,4689.17184938254,51576.6983431154,9441.73392870935,6025.48495294468,661.907149911286,4451.5590837218,912.018719311596,9007.98468377273,1791.08564804375,51507.6132137741,4147.34027250246,289.497495344303,141.175279361634,1729.00921157302,5502.76332040232,4071.4152115503,22030,37150,58120,12
92014,Bourg-la-Reine,VallÇe Sud Grand Paris,2.99580341789603,355.086402189994,5260.16879538594,2420.36199742692,1769.99228845651,650.865027162273,3643.07073141437,2943.723172752,13491.5441618532,2624.59187996598,8527.03519432059,2339.91708756668,10359.5561503788,748.921105418107,7949.69024935043,1660.9447956103,899.651426575145,123.540889175622,666.525866668568,109.584670730954,1938.36508013041,504.434636146716,8637.703953179,787.682442690317,56.8002362379467,8.64045539491778,226.191992164914,599.242438100914,404.512510641478,22100,35690,50910,11
92019,ChÉtenay-Malabry,VallÇe Sud Grand Paris,0,745.22451892502,5556.96188329448,4559.64567939481,4281.09392258868,1930.16048374886,5285.61566195153,5408.76401140094,22529.3453765029,4928.47164979859,13896.3802996976,3704.49342700674,16937.7918114826,1483.05334225731,12771.2840061342,2683.454463091,1982.00557892794,393.953428465345,1355.97958917044,232.072561292153,3492.12099854116,720.703455165386,13841.2945664895,1060.80969941675,145.262569204195,52.3034151140275,487.504232545011,914.584292706091,581.494428604796,15980,26720,40960,19
92020,ChÉtillon,VallÇe Sud Grand Paris,0,792.219377504289,8455.02667329484,5401.27362413087,3975.03489250972,1262.31739513672,5689.12890599055,4429.66457535351,24871.1560374421,4210.45599484291,16306.5702920277,4354.12975057149,19978.1555684346,1440.06924450474,15429.8959812618,3108.19034266802,1860.83577519353,344.873558011352,1226.46569493438,289.496522247792,2745.88666297009,971.935871913141,16588.6321084969,1100.38399097075,121.544766086396,32.8733378811358,453.165492784607,1095.30339815531,605.546781218097,20000,31330,44880,13
92022,Chaville,Grand Paris Seine Ouest,0,474.015165900451,5010.33291970354,2705.3762868665,2170.7963792676,603.419682216794,3349.25771130648,2499.87936036472,13588.9480994569,2376.82818891,8909.9951554863,2302.12475506062,10949.9337946922,783.380298979471,8471.94487691978,1694.60861879292,897.999324022608,124.029520967033,636.461098817595,137.508704237979,1545.41389335114,433.571351716626,9074.34929609676,583.510863938004,56.1241037367366,14.8804525339507,293.921634348499,692.749994925066,386.882971464592,21410,33500,49440,11
92023,Clamart,VallÇe Sud Grand Paris,0.997659177789486,1511.5384212538,9273.96309199458,7158.55376204613,6496.01718688083,2444.97699287858,9458.332713275,6484.30203706726,33853.9268133792,6376.198431385,21196.0777131118,6281.65066888241,26776.5662746179,2275.84723369548,19970.0837472005,4530.63529372193,2774.1821457262,503.596978431482,1839.43594178818,431.149225506531,3962.77080219439,1293.80011978499,21616.3222019108,1859.76424888334,136.028976452951,55.8537560892747,611.911716666138,1603.79316564685,1169.88575113216,17560,29370,44680,16
92024,Clichy,Boucle Nord de Seine,14.0843492055073,1375.17012038814,10325.1056812305,8543.74862663021,9470.13714340736,4158.97435068322,7655.77465844204,8986.62379368167,42991.3784809671,7616.79744524113,29257.8461457928,6116.73488993321,34059.0080470023,3019.03659153694,26725.9044101688,4314.06704529657,4500.27985306297,715.617651032938,3276.97468232498,507.687519705046,4545.24254452571,1031.81729837577,27311.3492409796,2469.99911145463,435.51469355861,72.8975849033624,922.503270814868,1822.66219645558,844.007945991712,10910,20150,32890,31
92025,Colombes,Boucle Nord de Seine,2.0705735549893,2330.13557325492,13206.1734053185,10551.4934908583,11506.2535520059,5472.18918436152,11893.1341825922,13004.2435787447,56863.7947945885,10860.4711454997,36657.6830574079,9345.64059168099,43331.229663501,3546.913036188,33384.1108837563,6400.2057435567,5629.22589709597,921.390555895479,3834.21971009854,873.615631101948,6980.81054002285,1973.45736973796,34107.885572814,2579.05937954048,475.804474734094,86.1898021627818,897.620117196692,2518.35106851058,1582.59527347566,13170,23700,38530,25
92026,Courbevoie,Paris Ouest - La DÇfense,20.8683553738827,2104.06320724649,21160.151586925,10799.7417208467,8651.5147691152,2376.1156942705,12031.9365725442,10510.7623292628,55781.8419396637,9605.13107479201,37950.1035006888,8226.60736418292,44842.2605694564,3083.81350395179,35577.657189222,6180.78987628265,3956.01621589993,504.275964148662,2851.35611252995,600.384139221307,6677.81434177987,1434.21098202008,37120.824185659,2171.10124000403,292.624789786421,73.6641500330016,1056.58465272243,2712.05635953975,1714.18351960866,20080,33610,50080,13
92032,Fontenay-aux-Roses,VallÇe Sud Grand Paris,3.34155993339277,517.251422139998,4317.69115654326,3111.61878666031,3202.71465223653,1092.67610939736,4335.05551080849,3516.1031933806,15966.7186727956,3244.39201111249,9731.45075834921,2990.87590333385,12245.5717187893,1011.48542606871,9062.72706770753,2171.35922501307,1410.44004171464,266.333679833353,961.856296341018,182.250065540265,2192.1877156194,625.030299180632,9947.68989810315,782.879049652937,111.603186532098,25.1329384800055,270.890350301795,654.536163664299,384.823893301342,16210,26810,41310,18
92033,Garches,Paris Ouest - La DÇfense,10.4797420576634,627.619485904071,3858.53711316464,2069.61337890537,1581.178557153,554.00514183537,3397.09972030183,2432.81400871127,11064.6962324045,2129.40705856447,6836.39961456901,2098.88955927101,8551.43520428341,500.152134660601,6405.79543391366,1645.48763570915,792.004966102557,87.4140992886265,542.958632033588,161.632234780342,1612.75023384023,307.426838495156,6664.61588384164,370.415224031383,31.5456552332163,12.3898672906677,208.762156129911,698.85615336847,613.945236421437,22930,38320,61550,9
92035,La Garenne-Colombes,Paris Ouest - La DÇfense,3.31870116495277,816.969035392731,7169.8712421442,4173.3745180176,3024.6222720731,1112.8309256207,4342.77784337756,3208.57132280912,19825.1692534311,3373.14727752546,13378.1774505324,3073.84452537325,16185.783763504,1137.31968088034,12777.9390901128,2270.52499251083,1310.05197405292,154.847622489241,969.239690147487,185.964661416192,2211.9294605514,686.622659405807,13553.6656990274,911.074311269247,99.8243995546049,31.5652001759842,302.758544708759,904.107563846369,632.718124308435,22060,34260,51160,10
92036,Gennevilliers,Boucle Nord de Seine,16.2027812006074,984.157539614366,2756.41170760496,5304.39405160391,8042.36325377354,4728.55367639616,6710.55400631318,8358.47022296975,30370.0385958794,6226.63365237803,19410.3407359692,4733.06420753222,22290.404055398,2481.1349962556,16795.0437938081,3014.22526533433,4343.88910382562,877.519333393263,2995.15276507758,471.217005354784,3532.59141962767,934.139090266253,16861.723208409,1781.64682123295,300.865186182161,102.231592494297,426.080696707001,720.362817417127,554.853563703092,9130,15850,24030,39
