"CODE_IRIS","COM","DEP","LIBCOM","LIBIRIS","TRIRIS","GRD_QUART","TYP_IRIS","MODIF_IRIS","LAB_IRIS","C13_POP15P_CS7_tx","P13_ACT1564_tx","P13_CHOM1564_tx","P13_ETUD1564_tx","P13_ACT1524_tx","P13_CHOM1524_tx","P13_SAL15P_CDD_tx","P13_SAL15P_INTERIM_tx"
"751041504","75104","75","Paris 4e Arrondissement","Arsenal 4","750111","7510415","H","00","1",18.9,76.9,9.5,14.9,30.5,22.2,16,0
"751041302","75104","75","Paris 4e Arrondissement","Saint-Merri 2","750131","7510413","H","00","1",15.3,82.6,11.5,10.3,41.6,18,12,0
"751041588","75104","75","Paris 4e Arrondissement","Bassin de l'Arsenal","750111","7510415","D","00","3",0,0,0,0,0,0,0,0
"751041499","75104","75","Paris 4e Arrondissement","Seine et Berges","750101","7510414","D","00","3",0,0,0,0,0,0,0,0
"751041404","75104","75","Paris 4e Arrondissement","Saint-Gervais 4","750101","7510414","H","00","1",14.8,80.2,8.5,12.9,41.2,11.5,12.6,0.1
"751041602","75104","75","Paris 4e Arrondissement","Notre Dame 2","750121","7510416","H","00","2",27.8,76.3,7.5,14.9,41.1,16.2,16.2,1.3
"751041402","75104","75","Paris 4e Arrondissement","Saint-Gervais 2","750101","7510414","H","00","1",16.2,80.6,15.3,12.5,39.8,32.4,15.6,0.1
"751041403","75104","75","Paris 4e Arrondissement","Saint-Gervais 3","750101","7510414","H","00","1",14.1,77.7,9.8,13.4,33.1,8.8,9.6,0.7
"751041601","75104","75","Paris 4e Arrondissement","Notre Dame 1","750121","7510416","H","00","1",25.4,76.5,10.7,16.6,28.2,16.2,12.3,0.7
"751041304","75104","75","Paris 4e Arrondissement","Saint-Merri 4","750121","7510413","A","00","3",14.6,79.6,12,10.9,50,12,8.5,0
"751041603","75104","75","Paris 4e Arrondissement","Notre Dame 3","750121","7510416","A","00","3",11.8,72.9,5.9,17.1,42.9,33.3,2.3,0
"751041699","75104","75","Paris 4e Arrondissement","Seine et Berges","750121","7510416","D","00","3",0,0,0,0,0,0,0,0
"751041401","75104","75","Paris 4e Arrondissement","Saint-Gervais 1","750101","7510414","H","00","1",20.2,73.4,11,14.1,33.4,23.2,10.3,0.5
"751041305","75104","75","Paris 4e Arrondissement","Saint-Merri 5","750131","7510413","A","00","3",0,0,0,0,0,0,0,0
"751041399","75104","75","Paris 4e Arrondissement","Seine et Berges","750121","7510413","D","00","3",0,0,0,0,0,0,0,0
"751041599","75104","75","Paris 4e Arrondissement","Seine et Berges","750111","7510415","D","00","3",0,0,0,0,0,0,0,0
"751051904","75105","75","Paris 5e Arrondissement","Val de Grace 4","750191","7510519","H","00","2",18,56,9.5,37.9,19.9,18.8,11.2,0
"751051802","75105","75","Paris 5e Arrondissement","Jardin des Plantes 2","750181","7510518","H","00","2",26.7,77.7,9.4,12.7,39.6,20.2,17.6,0
"751051706","75105","75","Paris 5e Arrondissement","Saint-Victor 6","750141","7510517","A","00","3",15,88.9,0,0,0,0,0,0
"751051903","75105","75","Paris 5e Arrondissement","Val de Grace 3","750191","7510519","H","00","1",17.1,68.4,13,23.7,28,14.3,13.5,0.1
"751051705","75105","75","Paris 5e Arrondissement","Saint-Victor 5","750141","7510517","H","00","1",22.9,76.2,9.6,11.5,28.9,0,12.4,0.9
"751051803","75105","75","Paris 5e Arrondissement","Jardin des Plantes 3","750181","7510518","H","00","1",20.7,76.3,10.2,17.7,33.4,25.4,16.1,0.8
"751051799","75105","75","Paris 5e Arrondissement","Seine et berges","750141","7510517","D","00","3",0,33.8,26.1,20.6,28.6,100,11.8,0
"751051801","75105","75","Paris 5e Arrondissement","Jardin des Plantes 1","750161","7510518","H","00","1",18.9,78.7,7.4,14.5,37.1,19.3,10.3,0.5
"751051901","75105","75","Paris 5e Arrondissement","Val de Grace 1","750191","7510519","H","00","1",19.5,70.7,9.5,22.4,32.1,12.8,14.5,0
"751051704","75105","75","Paris 5e Arrondissement","Saint-Victor 4","750141","7510517","H","00","1",16.9,78.5,9.2,15.1,37.3,12.2,13.9,0
"751052005","75105","75","Paris 5e Arrondissement","Sorbonne 5","750211","7510520","A","00","3",3.2,43.1,5.8,54.8,8.3,25,11.4,0.9
"751051902","75105","75","Paris 5e Arrondissement","Val de Grace 2","750191","7510519","H","00","1",20.1,75.4,8.8,18,38,9.6,21.1,2.4
"751051701","75105","75","Paris 5e Arrondissement","Saint-Victor 1","750151","7510517","H","00","1",15.9,75.8,9.9,18.6,28.6,8.7,16.1,1.4
"751051702","75105","75","Paris 5e Arrondissement","Saint-Victor 2","750151","7510517","H","00","1",12.9,76.8,10.3,19.1,29.7,23.9,13.8,1.1
"751051703","75105","75","Paris 5e Arrondissement","Saint-Victor 3","750151","7510517","H","00","1",13.1,73.1,8.7,20.4,33.9,11.7,16.6,0.4
"751052099","75105","75","Paris 5e Arrondissement","Seine et berges","750221","7510520","D","00","3",0,0,0,0,0,0,0,0
"751051899","75105","75","Paris 5e Arrondissement","Seine et berges","750161","7510518","D","00","3",0,0,0,0,0,0,0,0
"751052002","75105","75","Paris 5e Arrondissement","Sorbonne 2","750211","7510520","H","00","2",21.1,67.5,11.1,23.6,27.1,14.3,15.2,1.1
"751052003","75105","75","Paris 5e Arrondissement","Sorbonne 3","750221","7510520","H","00","1",12.7,73,9.6,20.6,31,16.8,14.8,1.2
"751051905","75105","75","Paris 5e Arrondissement","Val de Grace 5","750201","7510519","H","00","1",17.3,62.6,9.2,29.4,21.1,13.3,16.2,0
"751051804","75105","75","Paris 5e Arrondissement","Jardin des Plantes 4","750181","7510518","H","00","1",25,74.6,9.9,15.2,40.4,10.8,15,1.1
"751051805","75105","75","Paris 5e Arrondissement","Jardin des Plantes 5","750161","7510518","H","00","1",26.1,75.6,7.9,14,37.2,13.5,14,0.9
"751051806","75105","75","Paris 5e Arrondissement","Jardin des Plantes 6","750171","7510518","H","00","1",24.7,76.6,12.6,16.6,36.4,19.8,16.2,0.1
"751051809","75105","75","Paris 5e Arrondissement","Jardin des Plantes","750161","7510518","D","00","3",0,0,0,0,0,0,0,0
"751051808","75105","75","Paris 5e Arrondissement","Jardin des Plantes 8","750171","7510518","H","00","1",23.5,76.6,10.1,15.9,31.2,27.4,13.1,0.4
"751051907","75105","75","Paris 5e Arrondissement","Val de Grace 7","750201","7510519","H","00","2",18.5,57.2,9.2,38.8,14.3,21,17,1.2
"751051908","75105","75","Paris 5e Arrondissement","Val de Grace 8","750201","7510519","H","00","1",18.6,70.4,12.3,23.5,26.8,21.4,12.3,2.2
"751052004","75105","75","Paris 5e Arrondissement","Sorbonne 4","750221","7510520","H","00","1",19.5,73.2,11.2,18.5,28.8,18.1,16,0.5
"751051906","75105","75","Paris 5e Arrondissement","Val de Grace 6","750201","7510519","H","00","1",22.1,68.6,10.9,24.8,20.3,11.1,13.7,0
"751051807","75105","75","Paris 5e Arrondissement","Jardin des Plantes 7","750171","7510518","H","00","1",16.6,74.8,10.5,17.1,31.9,17.9,13.7,0.7
"751052001","75105","75","Paris 5e Arrondissement","Sorbonne 1","750211","7510520","H","00","1",15,68.5,11.8,25.8,29.7,16.4,14.9,0.7
"751062310","75106","75","Paris 6e Arrondissement","Notre Dame des Champs 10","750271","7510623","H","00","2",20.8,68,8.6,21.7,27.5,14.8,11.7,0.7
"751062311","75106","75","Paris 6e Arrondissement","Notre Dame des Champs 11","750271","7510623","H","00","2",24.5,70.7,7.7,18.3,27.5,18.3,15.1,0
"751062102","75106","75","Paris 6e Arrondissement","Monnaie 2","750231","7510621","H","00","1",18.8,74.7,9.8,16.4,31.5,15.8,9.3,1.4
"751062309","75106","75","Paris 6e Arrondissement","Notre Dame des Champs 9","750271","7510623","H","00","1",25.5,65.8,12.5,23.4,22.8,13.9,10.3,0.1
"751062307","75106","75","Paris 6e Arrondissement","Notre Dame des Champs 7","750261","7510623","H","00","1",22.6,72.9,8.6,17.9,26.6,8.3,15.4,0.6
"751062201","75106","75","Paris 6e Arrondissement","Odeon 1","750241","7510622","H","00","1",23.3,61.6,8.3,28.2,15.3,21.3,9,0
"751062103","75106","75","Paris 6e Arrondissement","Monnaie 3","750231","7510621","H","00","1",21.4,73.6,15.2,19.1,24.2,21.1,14.3,1
"751062202","75106","75","Paris 6e Arrondissement","Odeon 2","750241","7510622","H","00","2",22.7,70.8,9.1,19.1,20.2,28.6,14.2,0.8
"751062199","75106","75","Paris 6e Arrondissement","Seine et Berges","750231","7510621","D","00","3",0,0,0,0,0,0,0,0
"751062308","75106","75","Paris 6e Arrondissement","Notre Dame des Champs 8","750261","7510623","H","00","1",22.2,73.4,8.9,17.9,35.6,13.7,15.8,0.9
"751062305","75106","75","Paris 6e Arrondissement","Notre Dame des Champs 5","750251","7510623","H","00","1",20,52.4,9.3,40,9.9,23.8,10.3,0
