"CODE_IRIS","COM","DEP","LIBCOM","LIBIRIS","TRIRIS","GRD_QUART","TYP_IRIS","MODIF_IRIS","LAB_IRIS","P13_POP0024_tx","P13_POP1824_tx","P13_POP65P_tx","P13_POP75P_tx"
"751072804","75107","75","Paris 7e Arrondissement","Gros Caillou 4","750341","7510728","H","00","1",26.6,11.4,18.4,9.7
"751072899","75107","75","Paris 7e Arrondissement","Seine et Berges","750361","7510728","D","00","3",0,0,0,0
"751072801","75107","75","Paris 7e Arrondissement","Gros Caillou 1","750341","7510728","H","00","2",31.3,11.9,15.5,7.2
"751072802","75107","75","Paris 7e Arrondissement","Gros Caillou 2","750341","7510728","H","00","2",30.7,11.5,13.7,7.7
"751072508","75107","75","Paris 7e Arrondissement","Saint-Thomas d'Aquin 8","750301","7510725","A","00","3",33.3,0,0,0
"751072501","75107","75","Paris 7e Arrondissement","Saint-Thomas d'Aquin 1","750311","7510725","H","00","2",29.8,17.1,23.5,11.4
"751072502","75107","75","Paris 7e Arrondissement","Saint-Thomas d'Aquin 2","750311","7510725","H","00","1",26,9,23.1,9.4
"751072503","75107","75","Paris 7e Arrondissement","Saint-Thomas d'Aquin 3","750311","7510725","H","00","2",27.1,12,21.8,11.7
"751072803","75107","75","Paris 7e Arrondissement","Gros Caillou 3","750341","7510728","H","00","1",27.1,16.7,19.7,9.6
"751072603","75107","75","Paris 7e Arrondissement","Invalides 3","750291","7510726","H","00","2",23.9,12.5,20.1,8.9
"751072599","75107","75","Paris 7e Arrondissement","Seine et Berges","750301","7510725","D","00","3",0,0,0,0
"751072601","75107","75","Paris 7e Arrondissement","Invalides 1","750291","7510726","H","00","1",27,10.1,20.3,10.2
"751072504","75107","75","Paris 7e Arrondissement","Saint-Thomas d'Aquin 4","750311","7510725","H","00","1",26.5,14,20.9,10.4
"751072602","75107","75","Paris 7e Arrondissement","Invalides 2","750291","7510726","H","00","2",26.8,11,21.5,10.8
"751083005","75108","75","Paris 8e Arrondissement","Faubourg du Roule 5","750411","7510830","A","00","2",29.8,14.9,14.9,7.1
"751083002","75108","75","Paris 8e Arrondissement","Faubourg du Roule 2","750411","7510830","H","00","1",31.5,15.7,17,8.4
"751083001","75108","75","Paris 8e Arrondissement","Faubourg du Roule 1","750411","7510830","H","00","2",27.2,10.8,18.9,5.8
"751082999","75108","75","Paris 8e Arrondissement","Seine et Berges","750401","7510829","D","00","3",0,0,0,0
"751083004","75108","75","Paris 8e Arrondissement","Faubourg du Roule 4","750411","7510830","A","00","2",31.3,13.5,14.9,6.6
"751083003","75108","75","Paris 8e Arrondissement","Faubourg du Roule 3","750411","7510830","A","00","3",26.6,11.3,10.5,5
"751083201","75108","75","Paris 8e Arrondissement","Europe 1","750371","7510832","H","00","2",28.4,10.3,11.2,3.8
"751082907","75108","75","Paris 8e Arrondissement","Concorde Jar Chps Elysees","750401","7510829","D","00","3",0,0,0,0
"751083104","75108","75","Paris 8e Arrondissement","Madeleine 4","750391","7510831","A","00","3",31.2,14.4,11.7,5.7
"751083202","75108","75","Paris 8e Arrondissement","Europe 2","750421","7510832","H","00","1",28.8,11.9,17.9,11.4
"751083108","75108","75","Paris 8e Arrondissement","Madeleine 8","750391","7510831","A","00","3",30.9,9,12.2,3
"751083203","75108","75","Paris 8e Arrondissement","Europe 3","750421","7510832","H","00","1",29.5,12.9,12.3,6.3
"751083209","75108","75","Paris 8e Arrondissement","Europe 9","750421","7510832","A","00","3",24,9.4,17.1,7
"751083105","75108","75","Paris 8e Arrondissement","Madeleine 5","750391","7510831","A","00","2",26.3,11.2,21.2,8.4
"751083106","75108","75","Paris 8e Arrondissement","Madeleine 6","750391","7510831","A","00","2",24.2,11,17.9,6.9
"751083107","75108","75","Paris 8e Arrondissement","Madeleine 7","750391","7510831","A","00","3",19.1,6.1,23.4,4.3
"751082906","75108","75","Paris 8e Arrondissement","Champs Elysees 6","750401","7510829","A","00","3",0,0,0,0
"751083204","75108","75","Paris 8e Arrondissement","Europe 4","750371","7510832","H","00","1",30.7,11.8,16.8,7.8
"751083207","75108","75","Paris 8e Arrondissement","Europe 7","750381","7510832","H","00","2",31.1,13.3,14.1,7.6
