"CODE_IRIS","COM","DEP","LIBCOM","LIBIRIS","TRIRIS","GRD_QUART","TYP_IRIS","MODIF_IRIS","LAB_IRIS","DEC_TP6013","DEC_MED13"
"751072704","75107","75","Paris 7e Arrondissement","Ecole Militaire 4","750331","7510727","H","00","1","",44950
"751072812","75107","75","Paris 7e Arrondissement","Champ de Mars","750351","7510728","D","00","3",,
"751072706","75107","75","Paris 7e Arrondissement","Ecole Militaire 6","750321","7510727","H","00","1","",41252
"751072606","75107","75","Paris 7e Arrondissement","Invalides 6","750291","7510726","D","00","3",,
"751072699","75107","75","Paris 7e Arrondissement","Seine et Berges","750291","7510726","D","00","3",,
"751072701","75107","75","Paris 7e Arrondissement","Ecole Militaire 1","750321","7510727","H","00","1","11,9",39814
"751072604","75107","75","Paris 7e Arrondissement","Invalides 4","750291","7510726","H","00","2","",49492
"751072605","75107","75","Paris 7e Arrondissement","Invalides 5","750291","7510726","A","00","3",,
"751072707","75107","75","Paris 7e Arrondissement","Ecole Militaire 7","750331","7510727","A","00","3",,
"751072805","75107","75","Paris 7e Arrondissement","Gros Caillou 5","750351","7510728","H","00","1","13,0",34362
"751072806","75107","75","Paris 7e Arrondissement","Gros Caillou 6","750351","7510728","H","00","1","",60774
"751072807","75107","75","Paris 7e Arrondissement","Gros Caillou 7","750351","7510728","H","00","1","",61884
"751072804","75107","75","Paris 7e Arrondissement","Gros Caillou 4","750341","7510728","H","00","1","11,4",37178
"751072899","75107","75","Paris 7e Arrondissement","Seine et Berges","750361","7510728","D","00","3",,
"751072801","75107","75","Paris 7e Arrondissement","Gros Caillou 1","750341","7510728","H","00","2","",43210
"751072802","75107","75","Paris 7e Arrondissement","Gros Caillou 2","750341","7510728","H","00","2","",39674
"751072508","75107","75","Paris 7e Arrondissement","Saint-Thomas d'Aquin 8","750301","7510725","A","00","3",,
"751072501","75107","75","Paris 7e Arrondissement","Saint-Thomas d'Aquin 1","750311","7510725","H","00","2","",52874
"751072502","75107","75","Paris 7e Arrondissement","Saint-Thomas d'Aquin 2","750311","7510725","H","00","1","",48692
"751072503","75107","75","Paris 7e Arrondissement","Saint-Thomas d'Aquin 3","750311","7510725","H","00","2","",49372
"751072803","75107","75","Paris 7e Arrondissement","Gros Caillou 3","750341","7510728","H","00","1","14,0",33206
"751072603","75107","75","Paris 7e Arrondissement","Invalides 3","750291","7510726","H","00","2",,
"751072599","75107","75","Paris 7e Arrondissement","Seine et Berges","750301","7510725","D","00","3",,
"751072601","75107","75","Paris 7e Arrondissement","Invalides 1","750291","7510726","H","00","1","",44550
"751072504","75107","75","Paris 7e Arrondissement","Saint-Thomas d'Aquin 4","750311","7510725","H","00","1","",47462
"751072602","75107","75","Paris 7e Arrondissement","Invalides 2","750291","7510726","H","00","2","",49372
"751083005","75108","75","Paris 8e Arrondissement","Faubourg du Roule 5","750411","7510830","A","00","2",,
"751083002","75108","75","Paris 8e Arrondissement","Faubourg du Roule 2","750411","7510830","H","00","1","15,3",43758
"751083001","75108","75","Paris 8e Arrondissement","Faubourg du Roule 1","750411","7510830","H","00","2","9,3",53088
"751082999","75108","75","Paris 8e Arrondissement","Seine et Berges","750401","7510829","D","00","3",,
"751083004","75108","75","Paris 8e Arrondissement","Faubourg du Roule 4","750411","7510830","A","00","2",,
"751083003","75108","75","Paris 8e Arrondissement","Faubourg du Roule 3","750411","7510830","A","00","3",,
"751083201","75108","75","Paris 8e Arrondissement","Europe 1","750371","7510832","H","00","2","9,1",47906
"751082907","75108","75","Paris 8e Arrondissement","Concorde Jar Chps Elysees","750401","7510829","D","00","3",,
"751083104","75108","75","Paris 8e Arrondissement","Madeleine 4","750391","7510831","A","00","3",,
"751083202","75108","75","Paris 8e Arrondissement","Europe 2","750421","7510832","H","00","1","",50346
"751083108","75108","75","Paris 8e Arrondissement","Madeleine 8","750391","7510831","A","00","3",,
"751083203","75108","75","Paris 8e Arrondissement","Europe 3","750421","7510832","H","00","1","12,7",51748
